"n_sp" "area" "cat1" "cat2" "cat3"
"1" 37 89.8590261229594 "B" 1 TRUE
"2" 45 107.278625681925 "D" 1 FALSE
"3" 32 38.5969562099099 "E" 1 FALSE
"4" 30 20.9193082378099 "C" 1 FALSE
"5" 34 64.1564137744058 "D" 1 FALSE
"6" 36 52.8665737577783 "B" 0 TRUE
"7" 40 105.376850429537 "E" 1 FALSE
"8" 28 23.0628244185199 "B" 1 FALSE
"9" 37 104.595968293891 "C" 1 FALSE
"10" 34 71.9547623566528 "B" 1 TRUE
"11" 38 94.0197426382737 "C" 1 FALSE
"12" 35 58.0277701202942 "C" 1 FALSE
"13" 38 79.8753961718041 "B" 1 FALSE
"14" 38 89.8666116452744 "D" 1 FALSE
"15" 32 31.5967455562908 "D" 1 FALSE
"16" 34 48.4237295218257 "B" 0 FALSE
"17" 35 94.651942704935 "D" 1 FALSE
"18" 29 45.275115548455 "E" 0 FALSE
"19" 26 11.6370907118831 "D" 0 FALSE
"20" 33 51.082366926261 "C" 0 FALSE
"21" 35 67.6176309100063 "D" 1 FALSE
"22" 32 45.1499818221609 "C" 0 FALSE
"23" 40 81.9239876452055 "B" 1 FALSE
"24" 38 88.7915487910881 "D" 1 FALSE
"25" 31 41.8103256717353 "D" 1 FALSE
"26" 30 42.3850671051654 "D" 0 FALSE
"27" 35 52.9764433509894 "B" 1 FALSE
"28" 34 91.6528869600577 "D" 1 FALSE
"29" 35 47.5031716329729 "C" 1 FALSE
"30" 34 60.1290928792 "C" 1 TRUE
"31" 36 71.1918273737908 "C" 1 FALSE
"32" 38 71.5459545925 "C" 1 FALSE
"33" 37 59.202675011318 "E" 1 FALSE
"34" 30 23.0555468794835 "D" 1 FALSE
"35" 30 37.3825800590441 "C" 1 FALSE
"36" 32 77.0959989335851 "C" 1 FALSE
"37" 31 62.7575951148564 "D" 1 TRUE
"38" 35 56.2311992506209 "C" 0 FALSE
"39" 39 70.7144772590166 "C" 1 FALSE
"40" 36 76.2320534525478 "B" 1 FALSE
"41" 38 101.535345879019 "E" 1 TRUE
"42" 29 17.7915221895791 "D" 1 FALSE
"43" 36 53.5460284584305 "C" 1 TRUE
"44" 40 77.0437084596319 "D" 1 FALSE
"45" 31 54.6080880010406 "E" 1 TRUE
"46" 18 0.394651857622513 "E" 1 FALSE
"47" 26 9.72736707705677 "C" 0 FALSE
"48" 31 74.9526069193685 "B" 1 FALSE
"49" 38 92.7075325465722 "D" 1 TRUE
"50" 29 30.5582014223079 "B" 0 FALSE
"51" 40 101.251299763339 "D" 1 FALSE
"52" 36 52.0390454208802 "C" 0 FALSE
"53" 34 74.4024574215704 "D" 1 FALSE
"54" 31 39.2049991156161 "D" 0 FALSE
"55" 32 30.8350255205952 "C" 1 FALSE
"56" 36 67.8457205620309 "C" 1 FALSE
"57" 30 62.2887055817907 "D" 1 FALSE
"58" 36 47.1325393860994 "E" 0 FALSE
"59" 29 12.6758597206355 "D" 0 FALSE
"60" 34 40.80151270485 "D" 0 FALSE
"61" 32 54.8743282522731 "B" 1 TRUE
"62" 43 91.7122489875537 "C" 1 FALSE
"63" 38 72.5018647393609 "C" 1 FALSE
"64" 43 76.4379570403731 "C" 1 FALSE
"65" 35 66.2768441382793 "B" 1 FALSE
"66" 36 88.3584817000225 "D" 1 FALSE
"67" 39 44.2251284075715 "E" 1 FALSE
"68" 31 12.1367315337688 "C" 1 FALSE
"69" 36 68.1773231837943 "D" 1 FALSE
"70" 29 29.8449511950413 "D" 0 FALSE
"71" 35 44.5396063109681 "B" 1 FALSE
"72" 39 97.2318687141795 "E" 1 FALSE
"73" 25 20.4374585717595 "A" 0 FALSE
"74" 43 141.319298023194 "E" 1 FALSE
"75" 25 14.3215737262032 "C" 0 FALSE
"76" 31 64.523682040114 "E" 1 TRUE
"77" 21 0.776688763327236 "E" 0 FALSE
"78" 25 10.0373494343496 "B" 1 FALSE
"79" 37 86.5905600999639 "D" 1 TRUE
"80" 35 45.6670778164281 "B" 0 FALSE
"81" 38 99.0455019446168 "E" 1 FALSE
"82" 23 9.87878666507248 "D" 1 TRUE
"83" 33 37.3982402650214 "D" 1 FALSE
"84" 32 51.5233668276921 "B" 0 FALSE
"85" 37 87.9499541361114 "A" 1 TRUE
"86" 39 116.095293839113 "C" 1 FALSE
"87" 34 71.3277040121634 "D" 1 FALSE
"88" 33 42.7597631933167 "C" 0 FALSE
"89" 38 82.2875711943807 "D" 1 FALSE
"90" 38 42.5787244085301 "D" 0 FALSE
"91" 33 33.5898611195011 "D" 1 FALSE
"92" 33 55.7042236104716 "C" 0 FALSE
