Date,Stream,Point,Longitude (UTM),Latitude (UTM),Method,Species,Stage of development,Body Length (mm),Total Length (mm),Bottom Type,Depth (cm),Sample,Obs
06/09/11,1,A,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,8.89,2909,Periphyton.Vegetation,2.5,NA,NA
06/09/11,1,A,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,27,11.32,37.62,Periphyton.Vegetation,3,NA,NA
06/09/11,1,B,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,5.03,20.1,Periphyton,4.5,NA,NA
06/09/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,5.32,18.88,Periphyton,3,NA,NA
07/13/11,1,A,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton,2,NA,NA
07/13/11,1,A,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Periphyton,2,NA,NA
07/13/11,1,A,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,8.82,35.52,NA,NA,NA,NA
07/13/11,1,A,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,NA,4005,NA,NA,NA,NA
07/13/11,1,C,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,6.53,25.55,NA,NA,NA,NA
08/17/11,1,A,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,NA,NA,NA,Periphyton,1.6,NA,NA
08/17/11,1,B,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,6.2,25.77,NA,NA,NA,NA
08/17/11,1,B,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Sand,2.6,NA,NA
08/17/11,1,B,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Sand,0.8,NA,NA
08/17/11,1,B,"732831,146257844","7519531,55689949",Visual,Aplastodiscus eugenioi,NA,NA,NA,Sand,1.2,NA,NA
08/17/11,1,B,"732831,146257844","7519531,55689949",Dipnet,Aplastodiscus eugenioi,25,5.9,13.21,NA,NA,NA,Crossodactylus aeneusuda cortada
